"","budget","release_date","sw_lang_en","sw_tagline","release_month","seasonality","countries_cnt","lang_RU","actor0_movies_cnt","actor1_movies_5y_cnt","sw_female_actor0","sw_male_actor0","actor0_prev_revenue","director_movies_cnt","genre_fantasy","genre_horror","genre_history","genre_crime","genre_mystery","genre_family","depart_Art","depart_Custom_Mkup","depart_Lighting","depart_Visual_Effects","depart_Camera_female","depart_Directing_female","depart_Production_female","depart_Writing_female"
"611",8575000,"01/06/2016",0,1,6,74205073,1,0,0,0,"1","0","NULL",5,0,0,0,0,0,0,"1","0","0","0","0","0","0","1"
"612",5e+06,"09/02/2004",1,1,2,-15309317,2,0,9,3,"0","1","346079773",2,0,0,0,0,0,0,"1","0","0","0","0","1","1","0"
"613",1.7e+07,"23/01/2004",1,1,1,-50746591,1,0,0,3,"0","1","NULL",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"614",6e+06,"27/04/1961",1,1,4,-28405871,2,0,7,0,"0","1","10400000",0,0,0,0,0,0,0,"1","4","0","0","0","0","0","0"
"615",0,"17/10/2008",1,0,10,-28659422,1,0,13,1,"0","1","599045960",0,0,0,0,0,0,0,"4","0","0","0","0","0","2","0"
"616",0,"10/10/2010",0,0,10,-28659422,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"617",3.5e+07,"23/06/1993",1,1,6,74205073,1,0,8,0,"0","1","79666653",3,0,0,0,0,0,1,"4","3","0","0","0","0","0","0"
"618",4500000,"13/08/1982",1,1,8,-33273015,1,0,1,0,"0","1","35856053",0,0,0,0,0,0,0,"2","3","0","0","0","1","0","0"
"619",0,"17/12/1982",0,0,12,32322910,3,0,0,1,"0","0","NULL",1,1,0,0,0,1,0,"2","1","0","0","0","0","0","0"
"620",7e+07,"24/09/1999",1,1,9,-37667937,2,0,17,6,"0","1","136400000",4,0,0,0,1,1,0,"0","0","0","0","0","0","0","0"
"621",0,"05/11/2004",0,0,11,31944703,3,0,0,0,"0","0","NULL",6,0,0,0,0,0,0,"2","1","0","0","0","0","2","0"
"622",1e+07,"30/09/2016",1,1,9,-37667937,2,0,27,10,"1","0","276572938",2,0,0,1,0,0,0,"6","4","2","6","0","0","0","0"
"623",8.5e+07,"18/06/1993",1,1,6,74205073,1,0,13,3,"0","1","261317921",3,1,0,0,0,0,1,"15","6","4","7","0","0","3","0"
"624",2.2e+07,"01/06/2001",1,1,6,74205073,1,0,8,0,"0","1","159055768",0,0,0,0,0,0,0,"13","7","6","6","0","0","1","0"
"625",1.5e+07,"26/12/1959",1,1,12,32322910,1,0,2,1,"0","1","122700000",3,0,0,1,0,0,0,"6","3","0","2","0","0","0","0"
"626",0,"05/03/1993",1,1,3,-7149862,1,0,2,0,"0","1","235860116",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"627",1.6e+07,"15/04/2016",0,1,4,-28405871,1,0,0,2,"NULL","NULL","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"628",6e+06,"04/11/2016",1,1,11,31944703,1,0,11,4,"0","1","167977596",1,0,0,0,0,0,0,"1","1","0","0","0","0","1","0"
"629",0,"28/08/1998",1,1,8,-33273015,0,0,3,3,"1","0","238207122",1,0,0,0,0,0,0,"5","2","0","1","0","0","0","1"
"630",1.6e+07,"22/10/2004",1,1,10,-28659422,1,0,12,2,"0","1","294456605",2,0,0,0,0,0,0,"4","3","2","1","0","1","1","0"
"631",1e+07,"29/10/1970",1,1,10,-28659422,1,1,1,1,"0","1","38901218",10,0,0,0,1,1,0,"2","3","0","0","0","0","0","0"
"632",1.5e+07,"31/07/1991",1,1,7,40981593,1,0,6,2,"0","1","24078196",1,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"633",1e+08,"29/06/2005",1,1,6,74205073,2,0,4,1,"0","1","NULL",2,1,0,0,0,0,0,"17","9","7","7","0","0","1","0"
"634",0,"07/02/1968",1,1,2,-15309317,1,0,4,1,"0","1","25333333",0,0,0,0,0,0,0,"0","1","0","0","0","0","0","0"
"635",2.7e+07,"05/04/1984",1,1,4,-28405871,2,0,0,0,"0","1","NULL",1,1,0,0,0,0,1,"4","4","0","0","0","0","0","0"
"636",0,"07/08/1981",1,1,8,-33273015,0,0,2,1,"1","0","14717854",0,0,0,0,0,0,0,"0","0","0","0","0","0","1","0"
"637",2.3e+07,"14/02/2008",1,1,2,-15309317,1,1,0,3,"1","0","NULL",0,0,0,0,0,0,0,"4","5","0","2","0","0","4","1"
"638",3e+05,"05/02/1981",1,0,2,-15309317,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"639",6,"06/09/2000",1,1,9,-37667937,1,0,12,5,"0","1","355237933",0,0,0,0,0,0,0,"8","1","0","0","1","1","2","0"
"640",5e+07,"17/09/1999",1,1,9,-37667937,1,0,15,0,"0","1","157387195",9,0,0,0,0,0,0,"3","4","0","0","0","1","1","0"
"641",5e+07,"01/10/2014",1,0,10,-28659422,2,0,7,13,"0","1","286140700",0,1,0,0,0,0,1,"1","0","1","5","0","0","0","0"
"642",3.9e+07,"28/06/1988",1,1,6,74205073,1,0,7,0,"0","1","78868508",6,0,0,0,0,0,0,"0","0","0","0","0","0","1","0"
"643",1.3e+07,"08/05/1998",1,1,5,21757736,1,0,6,1,"1","0","NULL",1,0,0,0,0,0,0,"0","0","0","0","0","1","0","0"
"644",0,"09/10/1952",0,1,10,-28659422,1,0,1,0,"0","1","NULL",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"645",5e+06,"03/06/2010",1,1,6,74205073,1,0,0,3,"0","1","NULL",0,0,0,0,1,0,0,"0","0","0","0","0","0","1","0"
"646",5e+07,"23/11/2005",1,1,11,31944703,1,0,15,13,"0","1","325756637",1,0,0,0,0,0,0,"4","7","0","1","0","1","5","0"
"647",9e+06,"10/10/1968",1,1,10,-28659422,1,0,1,0,"1","0","NULL",0,0,0,0,0,0,0,"1","2","0","0","0","0","0","0"
"648",0,"15/05/1944",1,1,5,21757736,1,0,0,1,"0","1","NULL",0,0,0,0,0,0,0,"3","2","0","0","0","0","0","0"
"649",3e+07,"04/09/2005",1,1,9,-37667937,2,0,0,4,"0","1","NULL",0,0,0,0,0,0,1,"2","0","0","39","0","0","2","0"
"650",16500000,"13/12/1995",1,1,12,32322910,2,0,1,3,"1","0","NULL",3,0,0,0,0,0,0,"0","0","0","0","0","0","1","2"
"651",5e+06,"14/04/1983",1,1,4,-28405871,1,0,7,1,"0","1","NULL",2,0,0,0,1,0,0,"2","2","0","0","0","0","2","0"
"652",0,"03/09/1998",1,1,9,-37667937,0,0,0,0,"0","0","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"653",20000,"06/11/1997",0,1,11,31944703,1,0,0,0,"0","1","NULL",0,0,1,0,1,1,0,"0","0","0","0","0","0","0","0"
"654",2600000,"20/09/2007",0,1,9,-37667937,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"4","0","0","0","0","0","0","0"
"655",2.5e+07,"01/10/1994",1,1,10,-28659422,1,0,9,1,"0","1","23202734",0,0,0,0,0,0,0,"1","1","0","0","0","0","0","0"
"656",11500000,"18/02/1994",1,1,2,-15309317,1,0,6,2,"1","0","73326666",0,0,0,0,0,0,0,"2","1","0","0","0","0","2","1"
"657",0,"07/08/1985",1,1,8,-33273015,1,0,1,0,"0","1","NULL",1,0,0,0,0,0,0,"3","2","0","1","0","1","2","0"
"658",1.3e+07,"05/05/2009",1,0,5,21757736,4,0,0,2,"0","1","NULL",1,1,0,0,0,0,0,"2","0","0","0","0","0","0","0"
"659",7500000,"10/03/2012",1,1,3,-7149862,3,0,0,1,"1","0","NULL",0,0,0,0,0,0,0,"1","1","0","0","0","0","0","0"
"660",5.4e+07,"15/03/2006",1,1,3,-7149862,3,0,11,5,"1","0","850000000",0,1,0,0,0,0,0,"20","11","12","0","0","0","3","2"
"661",5500000,"04/09/2012",0,1,9,-37667937,5,0,22,1,"0","1","431971116",2,0,0,0,0,0,0,"2","1","0","0","0","1","0","1"
"662",1.5e+07,"13/09/2009",1,1,9,-37667937,1,0,6,1,"1","0","459359555",0,0,0,0,0,0,0,"0","0","0","0","0","1","0","1"
"663",0,"24/05/2012",1,1,5,21757736,1,0,4,2,"0","1","297138014",0,0,1,0,0,0,0,"5","7","3","5","0","0","1","0"
"664",0,"23/09/1994",1,0,9,-37667937,0,0,12,4,"0","1","147214049",6,0,0,0,0,0,1,"0","0","0","0","0","0","0","0"
"665",0,"14/03/2010",1,1,3,-7149862,1,0,19,7,"1","0","158733820",1,0,0,0,0,0,0,"0","0","0","0","0","1","0","0"
"666",2.5e+08,"11/12/2013",1,1,12,32322910,2,0,10,2,"0","1","1021103568",9,1,0,0,0,0,0,"16","17","1","13","0","0","4","2"
"667",0,"07/09/2013",1,0,9,-37667937,3,0,6,1,"0","1","144000000",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"668",6300000,"12/02/2012",1,0,2,-15309317,2,0,3,6,"1","0","NULL",1,0,0,0,0,0,0,"1","1","0","2","0","0","1","0"
"669",0,"10/02/1995",1,1,2,-15309317,1,0,9,2,"0","1","126297830",3,0,0,0,0,0,0,"0","0","0","0","0","0","1","1"
"670",2650000,"03/07/1962",1,1,7,40981593,1,0,5,2,"0","1","14400000",0,0,0,0,0,0,0,"1","1","1","0","0","0","0","0"
"671",6400000,"24/09/2010",0,1,9,-37667937,1,0,7,2,"1","0","18130000",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"672",6e+06,"13/03/2014",1,1,3,-7149862,1,0,16,0,"1","0","29907685",0,0,0,0,1,0,0,"4","1","0","0","0","0","1","0"
"673",4200000,"10/08/1984",1,0,8,-33273015,1,1,2,3,"0","1","33697647",2,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"674",1.35e+08,"28/07/2005",1,1,7,40981593,1,1,8,4,"1","0","313542341",6,0,0,0,0,0,0,"16","7","5","9","0","0","6","0"
"675",1e+07,"03/07/2002",1,1,7,40981593,1,0,1,2,"1","0","NULL",0,0,0,0,0,0,1,"0","0","0","3","0","0","0","0"
"676",2.8e+07,"17/07/2013",1,1,7,40981593,2,0,6,10,"0","1","96188903",2,0,0,0,1,0,0,"1","1","0","0","0","1","0","0"
"677",2.5e+07,"11/09/1998",1,1,9,-37667937,1,0,2,6,"0","1","165615285",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"678",0,"03/02/2011",1,1,2,-15309317,1,0,14,3,"1","0","91974818",1,0,0,0,0,0,0,"0","0","0","0","0","1","0","1"
"679",2500000,"03/08/1955",1,1,8,-33273015,1,0,5,3,"0","1","2850000",8,0,0,0,1,1,0,"2","1","0","0","0","0","0","0"
"680",1.25e+08,"26/05/2004",1,1,5,21757736,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"681",2.5e+07,"30/05/1986",1,1,5,21757736,1,0,5,2,"0","1","50244700",6,1,0,0,0,0,0,"2","0","0","0","0","0","1","0"
"682",0,"29/09/1993",1,1,9,-37667937,1,0,8,4,"0","1","103173635",3,0,0,0,1,0,0,"2","1","0","0","0","0","2","0"
"683",2.6e+07,"15/01/2009",1,1,1,-50746591,1,0,4,1,"0","1","196482882",4,0,0,0,0,0,1,"4","1","0","0","0","0","6","0"
"684",1.6e+08,"16/03/2017",1,1,3,-7149862,2,0,15,3,"1","0","933959197",7,1,0,0,0,0,1,"16","14","3","26","1","0","1","1"
"685",1271000,"07/01/1955",1,1,1,-50746591,1,0,2,0,"0","1","5363000",0,0,0,0,1,0,0,"4","0","0","0","0","0","0","0"
"686",4e+07,"17/08/2016",1,1,8,-33273015,2,0,10,12,"0","1","167977596",8,0,0,0,1,0,0,"9","6","6","8","1","0","1","0"
"687",0,"14/09/1990",1,1,9,-37667937,1,0,3,3,"1","0","441306145",0,0,1,0,0,0,0,"0","0","0","0","0","0","0","0"
"688",0,"30/01/2013",1,0,1,-50746591,2,0,0,4,"0","0","NULL",4,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"689",1.13e+08,"17/05/2005",1,1,5,21757736,1,0,13,4,"0","1","649398328",5,0,0,0,0,0,0,"3","3","0","0","0","0","1","0"
"690",0,"23/12/1960",1,1,12,32322910,1,0,8,0,"0","1","13275000",2,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"691",3.5e+07,"05/09/2003",1,1,9,-37667937,2,0,5,1,"0","1","117487473",2,1,1,0,0,1,0,"9","9","1","8","0","0","2","0"
"692",3e+07,"26/09/2002",1,1,9,-37667937,1,0,5,4,"1","0","100202",2,0,0,0,0,0,0,"4","3","0","0","0","0","1","0"
"693",5e+06,"09/10/2014",1,1,10,-28659422,1,0,16,6,"0","1","1519557910",2,0,0,0,1,1,0,"0","0","0","0","0","0","2","0"
"694",0,"29/04/1983",1,1,4,-28405871,1,0,0,0,"1","0","NULL",0,0,1,0,0,0,0,"0","0","0","0","0","0","0","0"
"695",1,"15/08/2003",0,1,8,-33273015,1,0,1,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"696",0,"01/10/1992",1,1,10,-28659422,2,0,6,1,"0","1","28400000",3,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"697",1.2e+07,"14/09/2013",1,1,9,-37667937,1,0,20,2,"0","1","325756637",0,0,0,0,1,0,0,"2","4","1","0","0","0","3","0"
"698",6e+06,"11/09/2015",1,1,9,-37667937,1,0,17,0,"0","1","1405403694",2,0,0,0,0,0,0,"2","1","0","0","0","0","2","0"
"699",4e+07,"14/01/2016",1,1,1,-50746591,1,0,20,5,"0","1","171963386",7,0,0,0,0,0,0,"5","1","0","0","0","0","1","0"
"700",2.5e+07,"19/12/1986",1,1,12,32322910,1,0,4,0,"0","1","12308521",1,0,1,0,0,0,0,"3","1","0","0","0","0","1","0"
"701",5e+06,"10/09/2015",1,1,9,-37667937,1,0,0,1,"0","0","NULL",8,0,1,0,0,0,0,"3","2","0","2","1","0","0","0"
"702",1.1e+07,"09/07/1999",1,1,7,40981593,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"12","6","5","0","0","1","1","0"
"703",2053648,"22/10/1999",1,0,10,-28659422,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"704",8.5e+07,"11/12/2006",1,1,12,32322910,1,1,26,5,"0","1","288500217",1,0,0,1,0,0,0,"0","0","0","0","0","0","1","0"
"705",1e+06,"01/08/1954",1,1,8,-33273015,1,0,4,2,"0","1","2200000",7,0,0,0,0,1,0,"4","2","0","0","0","0","0","0"
"706",1200000,"18/05/1978",1,1,5,21757736,1,0,2,0,"0","1","161000000",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"707",0,"07/02/2014",1,0,2,-15309317,1,0,9,9,"1","0","91354215",0,0,0,0,0,0,0,"2","4","0","0","1","0","3","0"
"708",9e+07,"04/08/2014",1,1,8,-33273015,2,0,43,11,"0","1","300400432",0,0,0,0,0,0,0,"12","14","1","12","0","2","1","0"
"709",3e+06,"19/06/1960",1,1,6,74205073,1,0,3,0,"0","1","14400000",2,0,0,0,0,0,0,"1","0","0","0","0","0","0","0"
"710",0,"06/06/2011",1,1,6,74205073,5,0,13,0,"1","0","1004558444",0,0,0,0,0,0,0,"5","1","0","0","0","1","2","0"
"711",0,"26/12/1984",1,1,12,32322910,1,0,8,6,"1","0","245066411",0,0,0,0,0,0,0,"1","0","0","0","0","1","1","0"
"712",4e+07,"17/02/2006",1,1,2,-15309317,1,0,9,5,"0","1","207283925",3,0,0,0,0,0,1,"1","0","0","0","0","0","2","0"
"713",8e+07,"12/08/2005",1,1,8,-33273015,1,0,10,3,"0","1","212000000",3,0,0,1,0,0,0,"9","22","2","3","0","0","2","0"
"714",9250000,"07/11/1979",1,1,11,31944703,1,0,1,1,"0","0","34562222",1,0,0,0,0,0,0,"3","3","1","0","0","0","0","0"
"715",2.2e+07,"20/05/2010",1,1,5,21757736,2,0,16,3,"1","0","550000000",5,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"716",0,"12/03/1993",1,1,3,-7149862,1,0,3,1,"0","1","NULL",0,0,0,0,0,0,0,"1","1","0","0","0","1","0","0"
"717",2.7e+07,"15/04/1992",1,1,4,-28405871,2,0,8,0,"0","1","505000000",2,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"718",0,"10/04/1992",1,1,4,-28405871,2,0,6,1,"0","1","112892319",0,1,0,0,0,0,1,"2","0","0","3","0","0","1","0"
"719",0,"09/09/2014",0,1,9,-37667937,1,0,2,0,"1","0","30448000",2,0,1,0,0,0,0,"0","0","0","0","0","0","1","0"
"720",0,"02/08/1986",0,1,8,-33273015,1,0,0,0,"0","1","NULL",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"721",8e+05,"17/01/2003",1,0,1,-50746591,1,0,0,2,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"722",0,"18/11/1988",1,1,11,31944703,2,0,8,3,"0","1","85313124",1,1,1,0,0,0,0,"3","1","0","0","0","0","0","0"
"723",1.1e+07,"10/09/1993",1,1,9,-37667937,1,0,11,7,"0","1","52287414",1,0,0,0,1,0,0,"0","0","0","0","0","0","0","1"
"724",5e+07,"15/03/2009",1,1,3,-7149862,1,0,12,2,"1","0","222231186",3,1,0,0,0,0,0,"1","1","0","3","0","0","1","1"
"725",5e+07,"11/03/2015",1,1,3,-7149862,1,0,49,9,"0","1","748806957",4,0,0,0,1,1,0,"4","7","2","12","0","0","2","0"
"726",0,"08/03/2012",0,1,3,-7149862,1,0,0,0,"1","0","NULL",0,0,0,0,0,0,0,"1","4","1","0","0","0","3","0"
"727",3e+07,"01/06/2007",1,1,6,74205073,1,0,4,2,"0","1","109449237",1,0,0,0,0,0,0,"3","1","0","0","0","0","2","0"
"728",1.4e+07,"19/06/1980",1,1,6,74205073,1,0,6,1,"0","1","126737428",5,0,0,0,1,1,0,"3","3","0","0","0","0","1","0"
"729",1.03e+08,"19/03/2014",1,1,3,-7149862,1,0,9,5,"0","1","117698894",4,0,0,0,0,0,1,"0","0","0","2","0","0","0","1"
"730",0,"15/05/1991",0,1,5,21757736,3,0,0,0,"1","0","NULL",0,0,0,0,0,0,0,"1","6","0","0","0","1","1","0"
"731",4e+06,"11/12/1967",1,1,12,32322910,1,0,6,3,"0","1","5363000",2,0,0,0,0,0,0,"2","5","0","1","0","0","0","0"
"732",0,"31/05/1994",1,1,5,21757736,1,0,4,1,"0","1","190458706",0,0,0,0,0,0,0,"0","1","0","0","0","0","0","0"
"733",4e+06,"29/03/2002",0,1,3,-7149862,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"2","0","0","0","0","0","0","0"
"734",1.5e+08,"11/02/2016",1,1,2,-15309317,1,0,6,10,"1","0","186438883",2,0,0,0,0,0,1,"4","0","1","10","0","0","0","1"
"735",4e+07,"16/07/1992",1,1,7,40981593,1,0,8,2,"0","1","215394738",5,0,0,0,0,0,1,"0","0","0","0","0","0","1","0"
"736",8250000,"08/11/1951",1,1,11,31944703,1,0,1,0,"0","1","2019000",0,0,0,1,0,0,0,"0","0","0","0","0","0","0","1"
"737",8e+06,"22/04/1988",1,1,4,-28405871,0,0,1,0,"1","0","14000",0,0,0,0,0,0,0,"6","2","0","0","0","1","1","0"
"738",4e+07,"15/09/2016",1,1,9,-37667937,2,0,24,4,"0","1","60722734",16,0,0,0,0,0,0,"7","7","1","10","0","0","2","0"
"739",4e+07,"01/04/2005",1,1,4,-28405871,1,0,2,1,"1","0","84565230",9,0,0,0,1,0,0,"13","10","1","6","0","1","7","0"
"740",0,"17/08/1989",1,1,8,-33273015,1,0,6,5,"0","1","19905359",1,0,0,0,0,0,0,"6","1","0","0","0","1","6","0"
"741",0,"15/11/1991",1,0,11,31944703,1,0,2,3,"1","0","NULL",0,0,0,0,0,0,1,"0","0","0","0","0","0","0","0"
"742",967686,"07/05/2010",1,1,5,21757736,1,0,1,1,"0","1","NULL",0,0,0,0,1,0,0,"1","0","0","0","0","0","0","0"
"743",3.5e+07,"02/04/2010",1,1,4,-28405871,2,0,18,7,"0","1","98410061",4,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"744",1.2e+07,"07/12/1982",1,1,12,32322910,1,0,1,0,"0","1","26079312",3,0,0,0,1,0,0,"1","0","0","0","0","0","1","0"
"745",1.4e+07,"22/05/2007",0,1,5,21757736,2,0,1,0,"0","1","NULL",2,0,0,0,0,0,0,"2","1","0","0","0","0","1","0"
"746",50000,"22/02/2007",1,1,2,-15309317,1,0,0,0,"1","0","NULL",0,0,1,0,0,0,0,"0","0","0","0","0","0","0","0"
"747",6e+06,"26/08/2015",1,1,8,-33273015,3,0,11,2,"0","1","48190704",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"748",0,"09/11/2012",1,1,11,31944703,1,0,0,0,"1","0","NULL",4,1,0,0,0,0,1,"1","0","0","0","0","0","0","0"
"749",2.5e+07,"09/04/1999",1,1,4,-28405871,1,0,12,2,"1","0","23450000",1,0,0,0,0,0,0,"0","0","0","0","0","0","1","1"
"750",3e+07,"06/04/2005",1,1,4,-28405871,2,0,20,2,"1","0","196482882",7,0,0,0,0,0,0,"2","3","0","0","1","1","3","0"
"751",5e+07,"24/01/2008",1,1,1,-50746591,2,0,36,0,"0","1","300400432",6,0,0,0,0,0,0,"2","2","0","0","0","0","1","0"
"752",0,"21/10/1998",1,1,10,-28659422,0,0,28,0,"0","1","165615285",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"753",4500000,"05/07/1980",1,1,7,40981593,1,0,1,0,"1","0","NULL",1,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"754",6e+06,"21/04/1999",1,1,4,-28405871,1,0,10,2,"0","1","252712101",0,0,0,0,0,0,0,"3","1","0","0","0","1","2","1"
"755",0,"13/02/1981",1,1,2,-15309317,1,1,0,0,"0","1","NULL",3,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"756",0,"24/06/1993",0,1,6,74205073,1,0,6,2,"0","1","72179579",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"757",8e+07,"26/11/2008",1,1,11,31944703,1,0,22,4,"0","1","285176741",0,0,0,0,0,0,0,"1","1","0","0","0","1","1","0"
"758",0,"03/09/2015",0,0,9,-37667937,1,0,0,3,"NULL","NULL","NULL",2,0,0,0,0,0,0,"1","1","0","0","0","1","0","1"
"759",2.3e+07,"31/08/2007",1,1,8,-33273015,1,0,23,5,"0","1","177841558",1,0,0,1,1,1,0,"4","9","3","0","0","0","2","0"
"760",6500000,"05/09/2005",1,1,9,-37667937,1,0,7,3,"0","1","100230832",0,0,0,0,0,0,0,"6","7","1","2","0","1","4","0"
"761",1.5e+07,"02/05/2014",1,1,5,21757736,1,0,25,10,"1","0","148336445",4,0,0,0,0,0,0,"1","0","0","0","0","0","2","0"
"762",2e+06,"15/03/2006",0,1,3,-7149862,1,0,0,0,"1","0","NULL",0,0,0,0,0,0,0,"5","3","3","0","0","0","2","0"
"763",2e+08,"20/06/2013",1,1,6,74205073,2,0,35,1,"0","1","311312624",7,0,1,0,0,0,0,"3","1","0","2","0","0","3","0"
"764",0,"03/03/1989",1,1,3,-7149862,1,0,11,1,"0","1","104931801",0,0,0,1,0,0,0,"2","1","0","0","0","0","1","0"
"765",1.05e+08,"03/12/2015",1,1,12,32322910,3,0,7,4,"0","1","301000000",1,0,0,0,1,0,0,"5","23","6","27","0","0","1","0"
"766",4e+07,"02/02/2012",1,1,2,-15309317,2,0,28,7,"1","0","196482882",4,0,0,0,0,0,0,"2","0","1","1","0","0","0","0"
"767",2e+07,"17/08/2007",1,1,8,-33273015,1,0,7,1,"0","1","237681299",0,0,0,0,0,0,0,"3","1","0","0","0","0","2","0"
"768",0,"07/02/2014",1,0,2,-15309317,4,0,21,5,"0","1","154937680",0,0,0,0,0,0,0,"1","0","0","0","0","1","1","0"
"769",1.6e+07,"24/12/1988",1,1,12,32322910,3,0,3,6,"0","1","152427960",2,0,0,1,0,0,0,"0","0","0","0","0","0","0","0"
"770",5e+07,"24/06/2016",1,1,6,74205073,1,0,0,7,"NULL","NULL","NULL",2,0,0,1,0,0,0,"6","17","2","7","0","0","1","0"
"771",9e+06,"14/08/2009",0,1,8,-33273015,1,0,2,6,"0","1","4600000",0,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"772",0,"04/04/1997",1,1,4,-28405871,1,0,4,2,"0","1","126297830",0,0,0,0,0,0,0,"3","4","0","0","0","1","4","0"
"773",0,"06/10/2000",1,0,10,-28659422,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"774",0,"12/03/2010",1,1,3,-7149862,1,0,16,0,"0","1","217764291",1,0,0,0,0,0,0,"5","6","1","0","0","1","1","0"
"775",0,"08/04/2011",1,1,4,-28405871,1,0,40,0,"0","1","1004558444",0,0,0,0,0,0,0,"0","0","0","1","0","0","0","0"
"776",1.3e+08,"18/11/2008",1,1,11,31944703,3,0,22,8,"1","0","384335608",3,0,0,0,0,0,0,"12","8","1","24","0","1","2","0"
"777",1.5e+08,"16/12/2016",1,1,12,32322910,5,0,48,0,"0","1","630161890",5,1,0,0,0,0,0,"12","12","3","20","0","0","5","0"
"778",22500000,"04/11/2016",1,1,11,31944703,1,0,22,6,"1","0","662845518",0,0,0,0,0,0,0,"14","13","6","7","0","0","3","0"
"779",0,"08/02/2008",1,1,2,-15309317,4,0,9,5,"0","1","128905366",0,0,0,0,0,0,0,"3","3","0","0","0","0","4","0"
"780",5e+06,"20/01/2017",1,1,1,-50746591,2,1,18,5,"1","0","709827462",0,0,0,0,0,0,0,"5","13","2","0","0","0","3","0"
"781",1.3e+07,"05/02/2016",1,1,2,-15309317,1,0,7,8,"0","1","1519557910",0,0,0,0,0,0,0,"4","10","2","4","0","1","1","0"
"782",4e+07,"20/11/1989",1,1,11,31944703,1,0,2,3,"0","1","110996879",4,0,0,0,0,0,1,"3","6","0","0","0","0","3","0"
"783",0,"10/07/1992",1,0,7,40981593,1,0,8,6,"1","0","356830601",0,0,0,0,0,0,0,"5","1","0","0","0","1","12","0"
"784",0,"10/09/1993",1,1,9,-37667937,1,0,5,1,"1","0","41382841",5,0,0,0,1,0,0,"0","0","0","0","0","0","0","0"
"785",2500000,"10/01/1993",1,1,1,-50746591,1,0,5,4,"1","0","153083102",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"786",1.9e+07,"10/07/2004",1,1,7,40981593,2,0,4,6,"1","0","58795814",1,0,0,0,0,0,0,"5","1","0","0","0","0","7","2"
"787",1601792,"15/05/2005",0,0,5,21757736,5,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"788",0,"25/01/2015",1,0,1,-50746591,1,0,0,0,"NULL","NULL","NULL",0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
"789",9.4e+07,"15/12/2011",0,0,12,32322910,2,0,20,0,"0","1","1004558444",4,0,0,1,0,0,0,"5","3","0","6","0","1","0","0"
"790",1300000,"15/01/1971",1,1,1,-50746591,1,0,0,0,"0","1","NULL",0,0,0,0,0,0,0,"2","1","0","0","0","0","0","0"
"791",4e+07,"17/11/1989",1,1,11,31944703,1,0,0,0,"1","0","NULL",1,0,0,0,0,0,1,"3","0","0","7","0","0","3","1"
"792",1.3e+07,"15/12/2000",1,1,12,32322910,1,0,1,2,"0","1","NULL",0,0,0,0,0,0,0,"18","10","3","5","0","0","4","0"
